time,event_type,vehicle_id,node,battery,status,assigned_task,target_station,total_distance,total_score
0,step,0,6376552501,120.0,idle,,,0.0,0.0
0,step,1,6376552501,120.0,idle,,,0.0,0.0
0,step,2,6376552501,120.0,idle,,,0.0,0.0
0,step,3,6376552501,120.0,idle,,,0.0,0.0
0,step,4,6376552501,120.0,idle,,,0.0,0.0
0,step,5,6376552501,120.0,idle,,,0.0,0.0
0,step,6,6376552501,120.0,idle,,,0.0,0.0
0,step,7,6376552501,120.0,idle,,,0.0,0.0
0,step,8,6376552501,120.0,idle,,,0.0,0.0
0,step,9,6376552501,120.0,idle,,,0.0,0.0
1,step,0,6376552501,120.0,idle,,,0.0,0.0
1,step,1,6376552501,120.0,idle,,,0.0,0.0
1,step,2,6376552501,120.0,idle,,,0.0,0.0
1,step,3,6376552501,120.0,idle,,,0.0,0.0
1,step,4,6376552501,120.0,idle,,,0.0,0.0
1,step,5,6376552501,120.0,idle,,,0.0,0.0
1,step,6,6376552501,120.0,idle,,,0.0,0.0
1,step,7,6376552501,120.0,idle,,,0.0,0.0
1,step,8,6376552501,120.0,idle,,,0.0,0.0
1,step,9,6376552501,120.0,idle,,,0.0,0.0
2,dispatch,0,6376552501,120.0,moving_to_task,14,,0.0,0.0
2,step,0,5064795205,118.5,moving_to_task,14,,1.5,0.0
2,step,1,6376552501,120.0,idle,,,0.0,0.0
2,step,2,6376552501,120.0,idle,,,0.0,0.0
2,step,3,6376552501,120.0,idle,,,0.0,0.0
2,step,4,6376552501,120.0,idle,,,0.0,0.0
2,step,5,6376552501,120.0,idle,,,0.0,0.0
2,step,6,6376552501,120.0,idle,,,0.0,0.0
2,step,7,6376552501,120.0,idle,,,0.0,0.0
2,step,8,6376552501,120.0,idle,,,0.0,0.0
2,step,9,6376552501,120.0,idle,,,0.0,0.0
3,step,0,8532653561,117.0,moving_to_task,14,,3.0,0.0
3,step,1,6376552501,120.0,idle,,,0.0,0.0
3,step,2,6376552501,120.0,idle,,,0.0,0.0
3,step,3,6376552501,120.0,idle,,,0.0,0.0
3,step,4,6376552501,120.0,idle,,,0.0,0.0
3,step,5,6376552501,120.0,idle,,,0.0,0.0
3,step,6,6376552501,120.0,idle,,,0.0,0.0
3,step,7,6376552501,120.0,idle,,,0.0,0.0
